x,y,z,cell_id,cell_type
229,200,0,5,4
229,201,0,5,4
229,202,0,5,4
229,203,0,5,4
229,204,0,5,4
229,205,0,5,4
229,206,0,5,4
229,207,0,5,4
229,208,0,5,4
229,209,0,5,4
229,210,0,5,4
229,211,0,5,4
229,212,0,5,4
229,213,0,5,4
229,214,0,5,4
229,215,0,5,4
229,216,0,5,4
229,217,0,5,4
229,218,0,5,4
229,219,0,5,4
229,220,0,5,4
229,221,0,5,4
229,222,0,5,4
229,223,0,5,4
229,224,0,5,4
229,225,0,5,4
229,226,0,5,4
229,227,0,5,4
229,228,0,5,4
229,229,0,5,4
229,230,0,5,4
229,231,0,5,4
229,232,0,5,4
229,233,0,5,4
229,234,0,5,4
229,235,0,5,4
229,236,0,5,4
229,237,0,5,4
229,238,0,5,4
229,239,0,5,4
229,240,0,5,4
229,241,0,5,4
229,242,0,5,4
229,243,0,5,4
229,244,0,5,4
229,245,0,5,4
229,246,0,5,4
229,247,0,5,4
229,248,0,5,4
229,249,0,5,4
229,250,0,47,2
229,251,0,47,2
229,252,0,47,2
229,253,0,47,2
229,254,0,47,2
229,255,0,47,2
229,256,0,47,2
229,257,0,147,2
229,258,0,147,2
229,259,0,147,2
229,260,0,147,2
229,261,0,147,2
229,262,0,147,2
229,263,0,147,2
229,264,0,247,2
229,265,0,247,2
229,266,0,247,2
229,267,0,247,2
229,268,0,247,2
229,269,0,247,2
229,270,0,247,2
229,271,0,347,3
229,272,0,347,3
229,273,0,347,3
229,274,0,347,3
229,275,0,347,3
229,276,0,347,3
229,277,0,347,3
229,278,0,447,1
229,279,0,447,1
229,280,0,447,1
229,281,0,447,1
229,282,0,447,1
229,283,0,447,1
229,284,0,447,1
230,200,0,5,4
230,201,0,5,4
230,202,0,5,4
230,203,0,5,4
230,204,0,5,4
230,205,0,5,4
230,206,0,5,4
230,207,0,5,4
230,208,0,5,4
230,209,0,5,4
230,210,0,5,4
230,211,0,5,4
230,212,0,5,4
230,213,0,5,4
230,214,0,5,4
230,215,0,5,4
230,216,0,5,4
230,217,0,5,4
230,218,0,5,4
230,219,0,5,4
230,220,0,5,4
230,221,0,5,4
230,222,0,5,4
230,223,0,5,4
230,224,0,5,4
230,225,0,5,4
230,226,0,5,4
230,227,0,5,4
230,228,0,5,4
230,229,0,5,4
230,230,0,5,4
230,231,0,5,4
230,232,0,5,4
230,233,0,5,4
230,234,0,5,4
230,235,0,5,4
230,236,0,5,4
230,237,0,5,4
230,238,0,5,4
230,239,0,5,4
230,240,0,5,4
230,241,0,5,4
230,242,0,5,4
230,243,0,5,4
230,244,0,5,4
230,245,0,5,4
230,246,0,5,4
230,247,0,5,4
230,248,0,5,4
230,249,0,5,4
230,250,0,47,2
230,251,0,47,2
230,252,0,47,2
230,253,0,47,2
230,254,0,47,2
230,255,0,47,2
230,256,0,47,2
230,257,0,147,2
230,258,0,147,2
230,259,0,147,2
230,260,0,147,2
230,261,0,147,2
230,262,0,147,2
230,263,0,147,2
230,264,0,247,2
230,265,0,247,2
230,266,0,247,2
230,267,0,247,2
230,268,0,247,2
230,269,0,247,2
230,270,0,247,2
230,271,0,347,3
230,272,0,347,3
230,273,0,347,3
230,274,0,347,3
230,275,0,347,3
230,276,0,347,3
230,277,0,347,3
230,278,0,447,1
230,279,0,447,1
230,280,0,447,1
230,281,0,447,1
230,282,0,447,1
230,283,0,447,1
230,284,0,447,1
231,200,0,5,4
231,201,0,5,4
231,202,0,5,4
231,203,0,5,4
231,204,0,5,4
231,205,0,5,4
231,206,0,5,4
231,207,0,5,4
231,208,0,5,4
231,209,0,5,4
231,210,0,5,4
231,211,0,5,4
231,212,0,5,4
231,213,0,5,4
231,214,0,5,4
231,215,0,5,4
231,216,0,5,4
231,217,0,5,4
231,218,0,5,4
231,219,0,5,4
231,220,0,5,4
231,221,0,5,4
231,222,0,5,4
231,223,0,5,4
231,224,0,5,4
231,225,0,5,4
231,226,0,5,4
231,227,0,5,4
231,228,0,5,4
231,229,0,5,4
231,230,0,5,4
231,231,0,5,4
231,232,0,5,4
231,233,0,5,4
231,234,0,5,4
231,235,0,5,4
231,236,0,5,4
231,237,0,5,4
231,238,0,5,4
231,239,0,5,4
231,240,0,5,4
231,241,0,5,4
231,242,0,5,4
231,243,0,5,4
231,244,0,5,4
231,245,0,5,4
231,246,0,5,4
231,247,0,5,4
231,248,0,5,4
231,249,0,5,4
231,250,0,48,2
231,251,0,48,2
231,252,0,48,2
231,253,0,48,2
231,254,0,48,2
231,255,0,48,2
231,256,0,48,2
231,257,0,148,2
231,258,0,148,2
231,259,0,148,2
231,260,0,148,2
231,261,0,148,2
231,262,0,148,2
231,263,0,148,2
231,264,0,248,2
231,265,0,248,2
231,266,0,248,2
231,267,0,248,2
231,268,0,248,2
231,269,0,248,2
231,270,0,248,2
231,271,0,348,3
231,272,0,348,3
231,273,0,348,3
231,274,0,348,3
231,275,0,348,3
231,276,0,348,3
231,277,0,348,3
231,278,0,448,1
231,279,0,448,1
231,280,0,448,1
231,281,0,448,1
231,282,0,448,1
231,283,0,448,1
231,284,0,448,1
232,200,0,5,4
232,201,0,5,4
232,202,0,5,4
232,203,0,5,4
232,204,0,5,4
232,205,0,5,4
232,206,0,5,4
232,207,0,5,4
232,208,0,5,4
232,209,0,5,4
232,210,0,5,4
232,211,0,5,4
232,212,0,5,4
232,213,0,5,4
232,214,0,5,4
232,215,0,5,4
232,216,0,5,4
232,217,0,5,4
232,218,0,5,4
232,219,0,5,4
232,220,0,5,4
232,221,0,5,4
232,222,0,5,4
232,223,0,5,4
232,224,0,5,4
232,225,0,5,4
232,226,0,5,4
232,227,0,5,4
232,228,0,5,4
232,229,0,5,4
232,230,0,5,4
232,231,0,5,4
232,232,0,5,4
232,233,0,5,4
232,234,0,5,4
232,235,0,5,4
232,236,0,5,4
232,237,0,5,4
232,238,0,5,4
232,239,0,5,4
232,240,0,5,4
232,241,0,5,4
232,242,0,5,4
232,243,0,5,4
232,244,0,5,4
232,245,0,5,4
232,246,0,5,4
232,247,0,5,4
232,248,0,5,4
232,249,0,5,4
232,250,0,48,2
232,251,0,48,2
232,252,0,48,2
232,253,0,48,2
232,254,0,48,2
232,255,0,48,2
232,256,0,48,2
232,257,0,148,2
232,258,0,148,2
232,259,0,148,2
232,260,0,148,2
232,261,0,148,2
232,262,0,148,2
232,263,0,148,2
232,264,0,248,2
232,265,0,248,2
232,266,0,248,2
232,267,0,248,2
232,268,0,248,2
232,269,0,248,2
232,270,0,248,2
232,271,0,348,3
232,272,0,348,3
232,273,0,348,3
232,274,0,348,3
232,275,0,348,3
232,276,0,348,3
232,277,0,348,3
232,278,0,448,1
232,279,0,448,1
232,280,0,448,1
232,281,0,448,1
232,282,0,448,1
232,283,0,448,1
232,284,0,448,1
233,200,0,5,4
233,201,0,5,4
233,202,0,5,4
233,203,0,5,4
233,204,0,5,4
233,205,0,5,4
233,206,0,5,4
233,207,0,5,4
233,208,0,5,4
233,209,0,5,4
233,210,0,5,4
233,211,0,5,4
233,212,0,5,4
233,213,0,5,4
233,214,0,5,4
233,215,0,5,4
233,216,0,5,4
233,217,0,5,4
233,218,0,5,4
233,219,0,5,4
233,220,0,5,4
233,221,0,5,4
233,222,0,5,4
233,223,0,5,4
233,224,0,5,4
233,225,0,5,4
233,226,0,5,4
233,227,0,5,4
233,228,0,5,4
233,229,0,5,4
233,230,0,5,4
233,231,0,5,4
233,232,0,5,4
233,233,0,5,4
233,234,0,5,4
233,235,0,5,4
233,236,0,5,4
233,237,0,5,4
233,238,0,5,4
233,239,0,5,4
233,240,0,5,4
233,241,0,5,4
233,242,0,5,4
233,243,0,5,4
233,244,0,5,4
233,245,0,5,4
233,246,0,5,4
233,247,0,5,4
233,248,0,5,4
233,249,0,5,4
233,250,0,48,2
233,251,0,48,2
233,252,0,48,2
233,253,0,48,2
233,254,0,48,2
233,255,0,48,2
233,256,0,48,2
233,257,0,148,2
233,258,0,148,2
233,259,0,148,2
233,260,0,148,2
233,261,0,148,2
233,262,0,148,2
233,263,0,148,2
233,264,0,248,2
233,265,0,248,2
233,266,0,248,2
233,267,0,248,2
233,268,0,248,2
233,269,0,248,2
233,270,0,248,2
233,271,0,348,3
233,272,0,348,3
233,273,0,348,3
233,274,0,348,3
233,275,0,348,3
233,276,0,348,3
233,277,0,348,3
233,278,0,448,1
233,279,0,448,1
233,280,0,448,1
233,281,0,448,1
233,282,0,448,1
233,283,0,448,1
233,284,0,448,1
234,200,0,5,4
234,201,0,5,4
234,202,0,5,4
234,203,0,5,4
234,204,0,5,4
234,205,0,5,4
234,206,0,5,4
234,207,0,5,4
234,208,0,5,4
234,209,0,5,4
234,210,0,5,4
234,211,0,5,4
234,212,0,5,4
234,213,0,5,4
234,214,0,5,4
234,215,0,5,4
234,216,0,5,4
234,217,0,5,4
234,218,0,5,4
234,219,0,5,4
234,220,0,5,4
234,221,0,5,4
234,222,0,5,4
234,223,0,5,4
234,224,0,5,4
234,225,0,5,4
234,226,0,5,4
234,227,0,5,4
234,228,0,5,4
234,229,0,5,4
234,230,0,5,4
234,231,0,5,4
234,232,0,5,4
234,233,0,5,4
234,234,0,5,4
234,235,0,5,4
234,236,0,5,4
234,237,0,5,4
234,238,0,5,4
234,239,0,5,4
234,240,0,5,4
234,241,0,5,4
234,242,0,5,4
234,243,0,5,4
234,244,0,5,4
234,245,0,5,4
234,246,0,5,4
234,247,0,5,4
234,248,0,5,4
234,249,0,5,4
234,250,0,48,2
234,251,0,48,2
234,252,0,48,2
234,253,0,48,2
234,254,0,48,2
234,255,0,48,2
234,256,0,48,2
234,257,0,148,2
234,258,0,148,2
234,259,0,148,2
234,260,0,148,2
234,261,0,148,2
234,262,0,148,2
234,263,0,148,2
234,264,0,248,2
234,265,0,248,2
234,266,0,248,2
234,267,0,248,2
234,268,0,248,2
234,269,0,248,2
234,270,0,248,2
234,271,0,348,3
234,272,0,348,3
234,273,0,348,3
234,274,0,348,3
234,275,0,348,3
234,276,0,348,3
234,277,0,348,3
234,278,0,448,1
234,279,0,448,1
